city,station_code,latitude,longitude,station_name,region,network,region_index,access_type,operator
Pudahuel,RM/D15,-33.437811379126,-70.750171233135,Pudahuel (Acreditada),RM,MACAM - Metropolitana,7,Pública,Ministerio del Medio Ambiente
Cerro Navia,RM/D18,-33.433089610143,-70.732147868717,Cerro Navia,RM,MACAM - Metropolitana,7,Pública,Ministerio del Medio Ambiente
Puente Alto,RM/D27,-33.591390623022,-70.594788,Puente Alto,RM,MACAM - Metropolitana,7,Pública,Ministerio del Medio Ambiente
Talagante,RM/D28,-33.673752071375,-70.953064737434,Talagante,RM,MACAM - Metropolitana,7,Pública,Ministerio del Medio Ambiente
Quilicura,RM/D30,-33.349626928347,-70.723792612552,Quilicura,RM,MACAM - Metropolitana,7,Pública,Sub Secretaría del Medio Ambiente
Cerrillos,RM/D35,-33.495361139755,-70.704821317871,Cerrillos II,RM,MACAM - Metropolitana,7,Pública,Ministerio del Medio Ambiente
Valdivia,RXIV/E03,-39.831316104673,-73.22851282209,Valdivia,XIV,Red MMA,12,Pública,Ministerio del Medio Ambiente
La Unión,RXIV/E04,-40.286857441758,-73.076710459412,La Union,XIV,Red MMA,12,Pública,Ministerio del Medio Ambiente
Valdivia,RXIV/E08,-39.810654596299,-73.21969804116,Valdivia 2,XIV,Red MMA,12,Pública,Ministerio del Medio Ambiente
Arica,RXV/F01,-18.47683929771,-70.287911433372,Arica,XV,Red MMA,1,Pública,Ministerio del Medio Ambiente
